config_id,folder,algo,use_paper_dueling,total_budget,alpha,gamma,episode_keep,n_seeds,acc_mean,acc_std,wall_time_total_sec,per_seed_csv
FSH_duel0_g0.550000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p550000_k0p500000,FSH,0,200000,0.2,0.55,0.5,1000,1.0,0.0,8107.086956501007,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p550000_k0p500000\per_seed.csv
FSH_duel0_g0.600000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p600000_k0p500000,FSH,0,200000,0.2,0.6,0.5,1000,1.0,0.0,8108.425536394119,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p600000_k0p500000\per_seed.csv
FSH_duel0_g0.600000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p600000_k0p600000,FSH,0,200000,0.2,0.6,0.6,1000,1.0,0.0,8125.335427761078,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p600000_k0p600000\per_seed.csv
FSH_duel0_g0.650000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p650000_k0p500000,FSH,0,200000,0.2,0.65,0.5,1000,1.0,0.0,8143.7207980155945,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p650000_k0p500000\per_seed.csv
FSH_duel0_g0.650000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p650000_k0p600000,FSH,0,200000,0.2,0.65,0.6,1000,1.0,0.0,8118.942689657211,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p650000_k0p600000\per_seed.csv
FSH_duel0_g0.707107_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p707107_k0p500000,FSH,0,200000,0.2,0.7071067811865475,0.5,1000,1.0,0.0,8138.011948108673,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p707107_k0p500000\per_seed.csv
FSH_duel0_g0.707107_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p707107_k0p600000,FSH,0,200000,0.2,0.7071067811865475,0.6,1000,1.0,0.0,8129.815788030624,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p707107_k0p600000\per_seed.csv
FSH_duel0_g0.707107_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p707107_k0p707107,FSH,0,200000,0.2,0.7071067811865475,0.7071067811865475,1000,1.0,0.0,8110.827003479004,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p707107_k0p707107\per_seed.csv
FSH_duel0_g0.750000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p500000,FSH,0,200000,0.2,0.75,0.5,1000,1.0,0.0,8113.531865596771,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p500000\per_seed.csv
FSH_duel0_g0.750000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p600000,FSH,0,200000,0.2,0.75,0.6,1000,1.0,0.0,8115.5070679187775,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p600000\per_seed.csv
FSH_duel0_g0.750000_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p707107,FSH,0,200000,0.2,0.75,0.7071067811865475,1000,1.0,0.0,8140.642425060272,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p707107\per_seed.csv
FSH_duel0_g0.750000_k0.750000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p750000,FSH,0,200000,0.2,0.75,0.75,1000,1.0,0.0,8132.788507699966,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p750000_k0p750000\per_seed.csv
FSH_duel0_g0.800000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p800000_k0p500000,FSH,0,200000,0.2,0.8,0.5,1000,1.0,0.0,8134.8851771354675,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p800000_k0p500000\per_seed.csv
FSH_duel0_g0.800000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p800000_k0p600000,FSH,0,200000,0.2,0.8,0.6,1000,1.0,0.0,8137.885000944138,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p800000_k0p600000\per_seed.csv
FSH_duel0_g0.800000_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p800000_k0p707107,FSH,0,200000,0.2,0.8,0.7071067811865475,1000,1.0,0.0,8117.225301265717,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\FSH_duel0_g0p800000_k0p707107\per_seed.csv
