config_id,folder,algo,use_paper_dueling,total_budget,alpha,gamma,episode_keep,n_seeds,acc_mean,acc_std,wall_time_total_sec,per_seed_csv
FSH_duel1_g0.707107_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p707107_k0p707107,FSH,1,1000,0.8,0.7071067811865475,0.7071067811865475,10000,0.8449,0.3620180875447761,395.29802322387695,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p707107_k0p707107\per_seed.csv
FSH_duel1_g0.750000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p500000,FSH,1,1000,0.8,0.75,0.5,10000,0.8449,0.3620180875447761,377.1243324279785,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p500000\per_seed.csv
FSH_duel1_g0.750000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p600000,FSH,1,1000,0.8,0.75,0.6,10000,0.8449,0.3620180875447761,392.2093012332916,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p600000\per_seed.csv
FSH_duel1_g0.750000_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p707107,FSH,1,1000,0.8,0.75,0.7071067811865475,10000,0.8449,0.3620180875447761,379.5669882297516,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p707107\per_seed.csv
FSH_duel1_g0.750000_k0.750000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p750000,FSH,1,1000,0.8,0.75,0.75,10000,0.8449,0.3620180875447761,391.322057723999,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p750000_k0p750000\per_seed.csv
FSH_duel1_g0.800000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p500000,FSH,1,1000,0.8,0.8,0.5,10000,0.91,0.28619607058639124,379.72704887390137,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p500000\per_seed.csv
FSH_duel1_g0.800000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p600000,FSH,1,1000,0.8,0.8,0.6,10000,0.91,0.28619607058639124,376.34901213645935,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p600000\per_seed.csv
FSH_duel1_g0.800000_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p707107,FSH,1,1000,0.8,0.8,0.7071067811865475,10000,0.91,0.28619607058639124,377.44804215431213,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p707107\per_seed.csv
FSH_duel1_g0.800000_k0.750000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p750000,FSH,1,1000,0.8,0.8,0.75,10000,0.91,0.28619607058639124,418.27945017814636,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p800000_k0p750000\per_seed.csv
FSH_duel1_g0.850000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p500000,FSH,1,1000,0.8,0.85,0.5,10000,0.9141,0.2802303390146721,423.7215371131897,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p500000\per_seed.csv
FSH_duel1_g0.850000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p600000,FSH,1,1000,0.8,0.85,0.6,10000,0.9141,0.2802303390146721,422.1737811565399,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p600000\per_seed.csv
FSH_duel1_g0.850000_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p707107,FSH,1,1000,0.8,0.85,0.7071067811865475,10000,0.9141,0.2802303390146721,419.16874265670776,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p707107\per_seed.csv
FSH_duel1_g0.850000_k0.750000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p750000,FSH,1,1000,0.8,0.85,0.75,10000,0.9141,0.2802303390146721,434.21167373657227,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p850000_k0p750000\per_seed.csv
FSH_duel1_g0.900000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p500000,FSH,1,1000,0.8,0.9,0.5,10000,0.9253,0.26291980275792304,424.88947105407715,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p500000\per_seed.csv
FSH_duel1_g0.900000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p600000,FSH,1,1000,0.8,0.9,0.6,10000,0.9253,0.26291980275792304,422.7428798675537,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p600000\per_seed.csv
FSH_duel1_g0.900000_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p707107,FSH,1,1000,0.8,0.9,0.7071067811865475,10000,0.9253,0.26291980275792304,426.83590722084045,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p707107\per_seed.csv
FSH_duel1_g0.900000_k0.750000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p750000,FSH,1,1000,0.8,0.9,0.75,10000,0.9253,0.26291980275792304,421.23776960372925,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel1_g0p900000_k0p750000\per_seed.csv
FSH_NO_ELIM_MIX_duel0,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_NO_ELIM_MIX_duel0,FSH_NO_ELIM_MIX,0,1000,0.8,,,10000,0.7515,0.43216481421172664,237.43633341789246,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_NO_ELIM_MIX_duel0\per_seed.csv
FSH_NO_ELIM_MIX_duel1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_NO_ELIM_MIX_duel1,FSH_NO_ELIM_MIX,1,1000,0.8,,,10000,0.7473,0.4345820936941634,238.9834225177765,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_NO_ELIM_MIX_duel1\per_seed.csv
