config_id,folder,scenario,K,algo,total_budget,alpha,gamma,episode_keep,n_seeds,acc_mean,acc_std,fallback_rate,wall_time_total_sec,per_seed_csv
unique_best_K64_FSH_a0.500_g1.000_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a0p500_g1p000_k1p000_impl0,unique_best,64,FSH,80000,0.5,1.0,1.0,10,0.0,0.0,1.0,14.45562744140625,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a0p500_g1p000_k1p000_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g0.000_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p000_k0p000_impl0,unique_best,64,FSH,80000,1.0,0.0,0.0,10,0.0,0.0,1.0,3.078097343444824,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p000_k0p000_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g0.000_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p000_k0p500_impl0,unique_best,64,FSH,80000,1.0,0.0,0.5,10,0.5,0.5270462766947299,1.0,10.252369165420532,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p000_k0p500_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g0.000_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p000_k1p000_impl0,unique_best,64,FSH,80000,1.0,0.0,1.0,10,0.3,0.4830458915396479,1.0,10.87411117553711,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p000_k1p000_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g0.500_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p500_k0p000_impl0,unique_best,64,FSH,80000,1.0,0.5,0.0,10,0.0,0.0,1.0,3.0737855434417725,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p500_k0p000_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g0.500_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p500_k0p500_impl0,unique_best,64,FSH,80000,1.0,0.5,0.5,10,0.5,0.5270462766947299,1.0,8.986987829208374,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p500_k0p500_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g0.500_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p500_k1p000_impl0,unique_best,64,FSH,80000,1.0,0.5,1.0,10,0.3,0.4830458915396479,1.0,10.942607402801514,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g0p500_k1p000_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g1.000_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g1p000_k0p000_impl0,unique_best,64,FSH,80000,1.0,1.0,0.0,10,0.0,0.0,1.0,3.0701370239257812,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g1p000_k0p000_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g1.000_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g1p000_k0p500_impl0,unique_best,64,FSH,80000,1.0,1.0,0.5,10,0.5,0.5270462766947299,1.0,9.16745376586914,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g1p000_k0p500_impl0/per_seed.csv
unique_best_K64_FSH_a1.000_g1.000_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g1p000_k1p000_impl0,unique_best,64,FSH,80000,1.0,1.0,1.0,10,0.3,0.4830458915396479,1.0,10.28691577911377,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/unique_best_K64/unique_best_K64_FSH_a1p000_g1p000_k1p000_impl0/per_seed.csv
