scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
gaps_decreasing_tiny,32,20000,0.0,1.0,0.0,5000,133,100000000.0,2000000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.05,5000,919,100000000.0,2000000000000.0,0,1,77777,0.1838,0.387321003819829,0.005477546165939635,0.010735990485241684,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.1,5000,1259,100000000.0,2000000000000.0,0,1,77777,0.2518,0.4340469559851791,0.006138350918609981,0.012031167800475563,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.15000000000000002,5000,1504,100000000.0,2000000000000.0,0,1,77777,0.3008,0.4586058874458548,0.006485666658100769,0.012711906649877508,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.2,5000,1670,100000000.0,2000000000000.0,0,1,77777,0.334,0.47163969298607594,0.0066699925037439125,0.013073185307338068,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.25,5000,1910,100000000.0,2000000000000.0,0,1,77777,0.382,0.4858765275252551,0.006871331748649602,0.01346781022735322,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.30000000000000004,5000,1918,100000000.0,2000000000000.0,0,1,77777,0.3836,0.4862623160393987,0.006876787622138698,0.013478503739391847,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.35000000000000003,5000,2165,100000000.0,2000000000000.0,0,1,77777,0.433,0.4954906659060289,0.0070072961975358216,0.01373430054717021,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.4,5000,2233,100000000.0,2000000000000.0,0,1,77777,0.4466,0.4971402618979879,0.007030625007778468,0.013780025015245797,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.45,5000,2331,100000000.0,2000000000000.0,0,1,77777,0.4662,0.49885625184014687,0.0070548927702694395,0.013827589829728102,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.5,5000,2393,100000000.0,2000000000000.0,0,1,77777,0.4786,0.4995418300803247,0.007064588310722713,0.013846593089016517,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.55,5000,2560,100000000.0,2000000000000.0,0,1,77777,0.512,0.4998559792580259,0.007069031050999847,0.0138553008599597,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.6000000000000001,5000,2601,100000000.0,2000000000000.0,0,1,77777,0.5202,0.49959179336734505,0.007065294898303962,0.013847978000675765,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.65,5000,2698,100000000.0,2000000000000.0,0,1,77777,0.5396,0.49842937313123914,0.007048855793673183,0.013815757355599438,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.7000000000000001,5000,2718,100000000.0,2000000000000.0,0,1,77777,0.5436,0.4980954125466325,0.007044132877792695,0.013806500440473683,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.75,5000,2780,100000000.0,2000000000000.0,0,1,77777,0.556,0.4968541033341679,0.0070265781145590345,0.013772093104535707,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.8,5000,2887,100000000.0,2000000000000.0,0,1,77777,0.5774,0.49397291423720796,0.006985831947592212,0.013692230617280735,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.8500000000000001,5000,3008,100000000.0,2000000000000.0,0,1,77777,0.6016,0.48956862644577215,0.0069235459123197845,0.013570149988146778,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.9,5000,2992,100000000.0,2000000000000.0,0,1,77777,0.5984,0.4902218273394199,0.006932783567947293,0.013588255793176693,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,0.9500000000000001,5000,3025,100000000.0,2000000000000.0,0,1,77777,0.605,0.4888506929523574,0.006913392799487094,0.013550249886994704,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.0,1.0,1.0,5000,3155,100000000.0,2000000000000.0,0,1,77777,0.631,0.482533936630368,0.00682406037487946,0.013375158334763741,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.0,5000,1788,100000000.0,2000000000000.0,0,1,77777,0.3576,0.47929348003076366,0.0067782333981650416,0.01328533746040348,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.05,5000,1130,100000000.0,2000000000000.0,0,1,77777,0.226,0.41823916602824274,0.005914795009127535,0.011592998217889968,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.1,5000,1504,100000000.0,2000000000000.0,0,1,77777,0.3008,0.4586058874458548,0.006485666658100769,0.012711906649877508,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.15000000000000002,5000,1762,100000000.0,2000000000000.0,0,1,77777,0.3524,0.4777177409307718,0.0067559490821053406,0.013241660200926467,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.2,5000,1970,100000000.0,2000000000000.0,0,1,77777,0.394,0.48863483297857513,0.00691034007846213,0.013544266553785775,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.25,5000,2180,100000000.0,2000000000000.0,0,1,77777,0.436,0.49588708392132985,0.007012902394871898,0.013745288693948919,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.30000000000000004,5000,2239,100000000.0,2000000000000.0,0,1,77777,0.4478,0.4972676945066912,0.007032427177013637,0.013783557266946729,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.35000000000000003,5000,2340,100000000.0,2000000000000.0,0,1,77777,0.468,0.498974949271003,0.007056571405434795,0.013830879954652198,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.4,5000,2449,100000000.0,2000000000000.0,0,1,77777,0.4898,0.4998959491734255,0.007069596310964297,0.013856408769490021,20000.0,0.0
gaps_decreasing_tiny,32,20000,0.25,0.75,0.45,5000,2561,100000000.0,2000000000000.0,0,1,77777,0.5122,0.4998511378400573,0.007068962583010324,0.013855166662700235,20000.0,0.0
