scenario,K,T,zeta_req,alpha_req,n,acc_mean,acc_std,acc_ci95,spent_mean,spent_std,spent_ci95,clamp_rate,permute_mu,base_perm_seed
gaps_increasing,32,20000,0.0,0.0,5000,0.0266,0.16091127990293283,0.004460233121799801,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.0125,5000,0.0266,0.16091127990293283,0.004460233121799801,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.025,5000,0.0266,0.16091127990293283,0.004460233121799801,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.0375,5000,0.0274,0.16324594941376033,0.004524946859002876,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.05,5000,0.0274,0.16324594941376033,0.004524946859002876,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.0625,5000,0.0304,0.17168529348782324,0.004758873542005502,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.075,5000,0.0304,0.17168529348782324,0.004758873542005502,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.0875,5000,0.0304,0.17168529348782324,0.004758873542005502,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.1,5000,0.0314,0.17439621555526943,0.004834016467990154,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.1125,5000,0.0314,0.17439621555526943,0.004834016467990154,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.125,5000,0.039,0.19359493795035035,0.005366177902380799,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.1375,5000,0.039,0.19359493795035035,0.005366177902380799,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.15,5000,0.039,0.19359493795035035,0.005366177902380799,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.1625,5000,0.0402,0.19642800207709693,0.005444706433518707,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.175,5000,0.0402,0.19642800207709693,0.005444706433518707,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.1875,5000,0.0454,0.20817982611194583,0.005770450376599733,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.2,5000,0.0454,0.20817982611194583,0.005770450376599733,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.2125,5000,0.0454,0.20817982611194583,0.005770450376599733,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.225,5000,0.047,0.21163884331568247,0.005866329441823055,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.2375,5000,0.047,0.21163884331568247,0.005866329441823055,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.25,5000,0.0862,0.2806591527101869,0.007779474811271002,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.2625,5000,0.0862,0.2806591527101869,0.007779474811271002,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.275,5000,0.0862,0.2806591527101869,0.007779474811271002,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.2875,5000,0.0912,0.2878933135729276,0.007979995519998742,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.3,5000,0.0912,0.2878933135729276,0.007979995519998742,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.3125,5000,0.1034,0.30448060693581125,0.008439771834641029,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.325,5000,0.1034,0.30448060693581125,0.008439771834641029,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.3375,5000,0.1034,0.30448060693581125,0.008439771834641029,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.35,5000,0.1086,0.3111366902183026,0.008624269050348556,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.3625,5000,0.1086,0.3111366902183026,0.008624269050348556,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.0,0.375,5000,0.1384,0.3453193304754311,0.00957176349795585,20550.0,0.0,0.0,0.0,1,77777
