Index: 3, Decay:decay2, Alpha: 0.25, Correct: 0.0, Candidates Left: 2.0
Index: 3, Decay:decay2, Alpha: 0.5, Correct: 0.0, Candidates Left: 3.0
Index: 3, Decay:decay2, Alpha: 0.75, Correct: 0.0, Candidates Left: 6.0
Index: 3, Decay:decay2, Alpha: 1.0, Correct: 0.0, Candidates Left: 13.9
Index: 4, Decay:decay2, Alpha: 0.0, Correct: 0.0, Candidates Left: 8.0
Index: 4, Decay:decay2, Alpha: 0.25, Correct: 0.0, Candidates Left: 9.4
Index: 4, Decay:decay2, Alpha: 0.5, Correct: 0.0, Candidates Left: 11.9
Index: 4, Decay:decay2, Alpha: 0.75, Correct: 0.0, Candidates Left: 14.7
Index: 4, Decay:decay2, Alpha: 1.0, Correct: 0.0, Candidates Left: 15.0
Index: 5, Decay:decay2, Alpha: 0.0, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay2, Alpha: 0.25, Correct: 0.0, Candidates Left: 2.4
Index: 5, Decay:decay2, Alpha: 0.5, Correct: 0.0, Candidates Left: 3.2
Index: 5, Decay:decay2, Alpha: 0.75, Correct: 0.0, Candidates Left: 4.0
Index: 5, Decay:decay2, Alpha: 1.0, Correct: 0.0, Candidates Left: 5.0
Index: 0, Decay:decay3, Alpha: 0.0, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay3, Alpha: 0.25, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay3, Alpha: 0.5, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay3, Alpha: 0.75, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay3, Alpha: 1.0, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay3, Alpha: 0.0, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay3, Alpha: 0.25, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay3, Alpha: 0.5, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay3, Alpha: 0.75, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay3, Alpha: 1.0, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay3, Alpha: 0.0, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay3, Alpha: 0.25, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay3, Alpha: 0.5, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay3, Alpha: 0.75, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay3, Alpha: 1.0, Correct: 1.0, Candidates Left: 1.0
Index: 3, Decay:decay3, Alpha: 0.0, Correct: 0.4, Candidates Left: 1.6
Index: 3, Decay:decay3, Alpha: 0.25, Correct: 0.4, Candidates Left: 1.6
Index: 3, Decay:decay3, Alpha: 0.5, Correct: 0.2, Candidates Left: 1.8
Index: 3, Decay:decay3, Alpha: 0.75, Correct: 0.4, Candidates Left: 1.6
Index: 3, Decay:decay3, Alpha: 1.0, Correct: 0.1, Candidates Left: 1.9
Index: 4, Decay:decay3, Alpha: 0.0, Correct: 0.0, Candidates Left: 8.0
Index: 4, Decay:decay3, Alpha: 0.25, Correct: 0.0, Candidates Left: 7.7
Index: 4, Decay:decay3, Alpha: 0.5, Correct: 0.0, Candidates Left: 8.0
Index: 4, Decay:decay3, Alpha: 0.75, Correct: 0.0, Candidates Left: 8.6
Index: 4, Decay:decay3, Alpha: 1.0, Correct: 0.0, Candidates Left: 9.0
Index: 5, Decay:decay3, Alpha: 0.0, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay3, Alpha: 0.25, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay3, Alpha: 0.5, Correct: 0.0, Candidates Left: 2.1
Index: 5, Decay:decay3, Alpha: 0.75, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay3, Alpha: 1.0, Correct: 0.0, Candidates Left: 2.1
Index: 0, Decay:decay4, Alpha: 0.0, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay4, Alpha: 0.25, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay4, Alpha: 0.5, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay4, Alpha: 0.75, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay4, Alpha: 1.0, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay4, Alpha: 0.0, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay4, Alpha: 0.25, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay4, Alpha: 0.5, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay4, Alpha: 0.75, Correct: 1.0, Candidates Left: 1.0
Index: 1, Decay:decay4, Alpha: 1.0, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay4, Alpha: 0.0, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay4, Alpha: 0.25, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay4, Alpha: 0.5, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay4, Alpha: 0.75, Correct: 1.0, Candidates Left: 1.0
Index: 2, Decay:decay4, Alpha: 1.0, Correct: 1.0, Candidates Left: 1.0
Index: 3, Decay:decay4, Alpha: 0.0, Correct: 0.4, Candidates Left: 1.6
Index: 3, Decay:decay4, Alpha: 0.25, Correct: 0.4, Candidates Left: 1.6
Index: 3, Decay:decay4, Alpha: 0.5, Correct: 0.2, Candidates Left: 1.8
Index: 3, Decay:decay4, Alpha: 0.75, Correct: 0.1, Candidates Left: 1.9
Index: 3, Decay:decay4, Alpha: 1.0, Correct: 0.3, Candidates Left: 1.7
Index: 4, Decay:decay4, Alpha: 0.0, Correct: 0.0, Candidates Left: 8.0
Index: 4, Decay:decay4, Alpha: 0.25, Correct: 0.0, Candidates Left: 7.8
Index: 4, Decay:decay4, Alpha: 0.5, Correct: 0.0, Candidates Left: 7.8
Index: 4, Decay:decay4, Alpha: 0.75, Correct: 0.0, Candidates Left: 7.7
Index: 4, Decay:decay4, Alpha: 1.0, Correct: 0.0, Candidates Left: 7.9
Index: 5, Decay:decay4, Alpha: 0.0, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay4, Alpha: 0.25, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay4, Alpha: 0.5, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay4, Alpha: 0.75, Correct: 0.0, Candidates Left: 2.0
Index: 5, Decay:decay4, Alpha: 1.0, Correct: 0.0, Candidates Left: 2.0
Index: 0, Decay:decay5, Alpha: 0.0, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay5, Alpha: 0.25, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay5, Alpha: 0.5, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay5, Alpha: 0.75, Correct: 1.0, Candidates Left: 1.0
Index: 0, Decay:decay5, Alpha: 1.0, Correct: 1.0, Candidates Left: 1.0
