config_id,folder,algo,use_paper_dueling,total_budget,alpha,gamma,episode_keep,n_seeds,acc_mean,acc_std,wall_time_total_sec,per_seed_csv
FSH_duel0_g0.550000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p550000_k0p500000,FSH,0,1000,0.8,0.55,0.5,1000,0.701,0.45804891530142217,40.39873433113098,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p550000_k0p500000\per_seed.csv
FSH_duel0_g0.600000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p600000_k0p500000,FSH,0,1000,0.8,0.6,0.5,1000,0.727,0.44572375937307995,41.02557373046875,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p600000_k0p500000\per_seed.csv
FSH_duel0_g0.600000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p600000_k0p600000,FSH,0,1000,0.8,0.6,0.6,1000,0.727,0.44572375937307995,40.74885058403015,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p600000_k0p600000\per_seed.csv
FSH_duel0_g0.650000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p650000_k0p500000,FSH,0,1000,0.8,0.65,0.5,1000,0.763,0.42545506462141436,40.40583682060242,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p650000_k0p500000\per_seed.csv
FSH_duel0_g0.650000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p650000_k0p600000,FSH,0,1000,0.8,0.65,0.6,1000,0.763,0.42545506462141436,42.72786521911621,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p650000_k0p600000\per_seed.csv
FSH_duel0_g0.707107_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p707107_k0p500000,FSH,0,1000,0.8,0.7071067811865475,0.5,1000,0.792,0.40607991935196425,40.514567613601685,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p707107_k0p500000\per_seed.csv
FSH_duel0_g0.707107_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p707107_k0p600000,FSH,0,1000,0.8,0.7071067811865475,0.6,1000,0.792,0.40607991935196425,53.21778583526611,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p707107_k0p600000\per_seed.csv
FSH_duel0_g0.707107_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p707107_k0p707107,FSH,0,1000,0.8,0.7071067811865475,0.7071067811865475,1000,0.792,0.40607991935196425,52.800811529159546,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p707107_k0p707107\per_seed.csv
FSH_duel0_g0.750000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p750000_k0p500000,FSH,0,1000,0.8,0.75,0.5,1000,0.792,0.40607991935196425,52.63421177864075,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p750000_k0p500000\per_seed.csv
FSH_duel0_g0.750000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p750000_k0p600000,FSH,0,1000,0.8,0.75,0.6,1000,0.792,0.40607991935196425,53.46571469306946,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_150141\FSH_duel0_g0p750000_k0p600000\per_seed.csv
