scenario,K,T,zeta_req,alpha_req,n,acc_mean,acc_std,acc_ci95,spent_mean,spent_std,spent_ci95,clamp_rate,permute_mu,base_perm_seed
unique_best,32,10000,0.0,0.0,5000,0.0266,0.16091127990293283,0.004460233121799801,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.0125,5000,0.0266,0.16091127990293283,0.004460233121799801,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.025,5000,0.0266,0.16091127990293283,0.004460233121799801,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.0375,5000,0.0274,0.16324594941376033,0.004524946859002876,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.05,5000,0.0274,0.16324594941376033,0.004524946859002876,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.0625,5000,0.03,0.1705872210923198,0.004728436528071409,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.075,5000,0.03,0.1705872210923198,0.004728436528071409,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.0875,5000,0.03,0.1705872210923198,0.004728436528071409,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.1,5000,0.0312,0.1738578729882544,0.004819094373344435,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.1125,5000,0.0312,0.1738578729882544,0.004819094373344435,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.125,5000,0.0396,0.19501753767289753,0.005405610354881306,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.1375,5000,0.0396,0.19501753767289753,0.005405610354881306,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.15,5000,0.0396,0.19501753767289753,0.005405610354881306,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.1625,5000,0.0404,0.19689550528135474,0.005457664961208227,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.175,5000,0.0404,0.19689550528135474,0.005457664961208227,10540.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,0.0,0.1875,5000,0.047,0.21163884331568247,0.005866329441823055,10540.0,0.0,0.0,0.0,1,77777
