scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
fusing_bump,32,20000,0.0,1.0,0.0,5000,133,100000000.0,2000000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.05,5000,2889,100000000.0,2000000000000.0,0,1,77777,0.5778,0.4939100727865347,0.006984943235273999,0.013690488741137038,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.1,5000,3657,100000000.0,2000000000000.0,0,1,77777,0.7314,0.44323136170627636,0.006268238029941109,0.012285746538684575,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.15000000000000002,5000,4030,100000000.0,2000000000000.0,0,1,77777,0.806,0.395428881089887,0.0055922088659133605,0.010960729377190186,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.2,5000,4313,100000000.0,2000000000000.0,0,1,77777,0.8626,0.34426913890152855,0.004868700853410486,0.009542653672684552,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.25,5000,4488,100000000.0,2000000000000.0,0,1,77777,0.8976,0.30317361362757156,0.0042875223614577225,0.008403543828457136,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.30000000000000004,5000,4624,100000000.0,2000000000000.0,0,1,77777,0.9248,0.2637137842434484,0.003729476102618169,0.007309773161131611,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.35000000000000003,5000,4686,100000000.0,2000000000000.0,0,1,77777,0.9372,0.2426028853909202,0.0034309229079068494,0.0067246088994974244,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.4,5000,4750,100000000.0,2000000000000.0,0,1,77777,0.95,0.21794494717703378,0.0030822070014844896,0.0060411257229096,20000.0,0.0
fusing_bump,32,20000,0.0,1.0,0.45,5000,4829,100000000.0,2000000000000.0,0,1,77777,0.9658,0.18174256518493406,0.0025702280054501004,0.005037646890682196,20000.0,0.0
