scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
fusing_bump,32,40000,0.0,1.0,0.0,5000,133,200000000.0,8000000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.05,5000,3682,200000000.0,8000000000000.0,0,1,77777,0.7364,0.4405848839894532,0.006230811183144614,0.012212389918963444,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.1,5000,4326,200000000.0,8000000000000.0,0,1,77777,0.8652,0.3415098241632296,0.004829678250152902,0.009466169370299688,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.15000000000000002,5000,4600,200000000.0,8000000000000.0,0,1,77777,0.92,0.27129319932501067,0.0038366652186501747,0.007519863828554342,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.2,5000,4771,200000000.0,8000000000000.0,0,1,77777,0.9542,0.20905109423296486,0.002956428926931948,0.0057946006967866176,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.25,5000,4848,200000000.0,8000000000000.0,0,1,77777,0.9696,0.1716852934878232,0.0024279967051048477,0.0047588735420055015,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.30000000000000004,5000,4907,200000000.0,8000000000000.0,0,1,77777,0.9814,0.13510751274448046,0.0019107087690174004,0.003744989187274105,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.35000000000000003,5000,4929,200000000.0,8000000000000.0,0,1,77777,0.9858,0.11831466519413386,0.001673222041451761,0.0032795152012454515,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.4,5000,4967,200000000.0,8000000000000.0,0,1,77777,0.9934,0.08097184695929845,0.001145114841402385,0.0022444250891486745,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.45,5000,4972,200000000.0,8000000000000.0,0,1,77777,0.9944,0.07462332075162596,0.0010553331227626706,0.002068452920614834,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.5,5000,4989,200000000.0,8000000000000.0,0,1,77777,0.9978,0.04685253461660297,0.0006625948988635483,0.0012986860017725546,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.55,5000,4989,200000000.0,8000000000000.0,0,1,77777,0.9978,0.04685253461660297,0.0006625948988635483,0.0012986860017725546,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.6000000000000001,5000,4993,200000000.0,8000000000000.0,0,1,77777,0.9986,0.03739037309254826,0.0005287797272967179,0.001036408265501567,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.65,5000,4996,200000000.0,8000000000000.0,0,1,77777,0.9992,0.02827295527531607,0.00039983996798719927,0.0007836863372549105,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.7000000000000001,5000,4997,200000000.0,8000000000000.0,0,1,77777,0.9994,0.02448754785600316,0.0003463062228721987,0.0006787601968295094,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.75,5000,4998,200000000.0,8000000000000.0,0,1,77777,0.9996,0.01999599959991888,0.0002827861382741226,0.0005542608310172803,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.8,5000,5000,200000000.0,8000000000000.0,0,1,77777,1.0,0.0,0.0,0.0,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.8500000000000001,5000,4999,200000000.0,8000000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.9,5000,5000,200000000.0,8000000000000.0,0,1,77777,1.0,0.0,0.0,0.0,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,0.9500000000000001,5000,5000,200000000.0,8000000000000.0,0,1,77777,1.0,0.0,0.0,0.0,40000.0,0.0
fusing_bump,32,40000,0.0,1.0,1.0,5000,5000,200000000.0,8000000000000.0,0,1,77777,1.0,0.0,0.0,0.0,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.0,5000,4947,200000000.0,8000000000000.0,0,1,77777,0.9894,0.10240917927607883,0.0014482845024372838,0.002838637624777076,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.05,5000,4133,200000000.0,8000000000000.0,0,1,77777,0.8266,0.3785927099139655,0.0053541094497591285,0.010494054521527891,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.1,5000,4672,200000000.0,8000000000000.0,0,1,77777,0.9344,0.24758158251372414,0.003501332317847022,0.006862611342980163,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.15000000000000002,5000,4838,200000000.0,8000000000000.0,0,1,77777,0.9676,0.17705998983395427,0.0025040063897682043,0.00490785252394568,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.2,5000,4922,200000000.0,8000000000000.0,0,1,77777,0.9844,0.1239219108955311,0.001752520470636503,0.0034349401224475456,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.25,5000,4960,200000000.0,8000000000000.0,0,1,77777,0.992,0.08908422980528038,0.0012598412598418902,0.0024692888692901048,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.30000000000000004,5000,4983,200000000.0,8000000000000.0,0,1,77777,0.9966,0.05821030836544296,0.0008232180756032947,0.0016135074281824575,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.35000000000000003,5000,4985,200000000.0,8000000000000.0,0,1,77777,0.997,0.05469003565550129,0.0007734339015067806,0.0015159304469532899,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.4,5000,4994,200000000.0,8000000000000.0,0,1,77777,0.9988,0.03462022530255947,0.0004896039215529179,0.000959623686243719,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.45,5000,4996,200000000.0,8000000000000.0,0,1,77777,0.9992,0.02827295527531607,0.00039983996798719927,0.0007836863372549105,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.5,5000,4997,200000000.0,8000000000000.0,0,1,77777,0.9994,0.02448754785600316,0.0003463062228721987,0.0006787601968295094,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.55,5000,4998,200000000.0,8000000000000.0,0,1,77777,0.9996,0.01999599959991888,0.0002827861382741226,0.0005542608310172803,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.6000000000000001,5000,4998,200000000.0,8000000000000.0,0,1,77777,0.9996,0.01999599959991888,0.0002827861382741226,0.0005542608310172803,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.65,5000,4999,200000000.0,8000000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.7000000000000001,5000,4996,200000000.0,8000000000000.0,0,1,77777,0.9992,0.02827295527531607,0.00039983996798719927,0.0007836863372549105,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.75,5000,4999,200000000.0,8000000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.8,5000,4996,200000000.0,8000000000000.0,0,1,77777,0.9992,0.02827295527531607,0.00039983996798719927,0.0007836863372549105,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.8500000000000001,5000,4997,200000000.0,8000000000000.0,0,1,77777,0.9994,0.02448754785600316,0.0003463062228721987,0.0006787601968295094,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.9,5000,4987,200000000.0,8000000000000.0,0,1,77777,0.9974,0.05092386473943279,0.0007201722016295889,0.0014115375151939943,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,0.9500000000000001,5000,4888,200000000.0,8000000000000.0,0,1,77777,0.9776,0.1479805392610798,0.002092760855903033,0.004101811277569944,40000.0,0.0
fusing_bump,32,40000,0.25,0.75,1.0,5000,5000,200000000.0,8000000000000.0,0,1,77777,1.0,0.0,0.0,0.0,40000.0,0.0
fusing_bump,32,40000,0.5,0.5,0.0,5000,4947,200000000.0,8000000000000.0,0,1,77777,0.9894,0.10240917927607883,0.0014482845024372838,0.002838637624777076,40000.0,0.0
fusing_bump,32,40000,0.5,0.5,0.05,5000,4642,200000000.0,8000000000000.0,0,1,77777,0.9284,0.2578244363903468,0.003646188146544278,0.007146528767226785,40000.0,0.0
fusing_bump,32,40000,0.5,0.5,0.1,5000,4908,200000000.0,8000000000000.0,0,1,77777,0.9816,0.1343928569530389,0.0019006020098905493,0.0037251799393854764,40000.0,0.0
fusing_bump,32,40000,0.5,0.5,0.15000000000000002,5000,4959,200000000.0,8000000000000.0,0,1,77777,0.9918,0.0901818163489735,0.0012753634776015803,0.0024997124160990973,40000.0,0.0
fusing_bump,32,40000,0.5,0.5,0.2,5000,4979,200000000.0,8000000000000.0,0,1,77777,0.9958,0.06467116822819874,0.0009145884320283066,0.001792593326775481,40000.0,0.0
fusing_bump,32,40000,0.5,0.5,0.25,5000,4991,200000000.0,8000000000000.0,0,1,77777,0.9982,0.042388205906832434,0.0005994597567810576,0.0011749411232908728,40000.0,0.0
