seed,env_seed,algo_seed,perm,best_arm,final_arm,correct,wall_time_sec,spent_budget,duels,rewards,rounds_executed,seed_md
0,12345,67890,"12,8,9,6,11,5,0,13,15,2,4,14,1,7,10,3",6,6,1,0.023998022079467773,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_000.md
1,12346,67891,"12,11,10,6,8,13,1,4,14,2,9,3,7,0,5,15",13,13,1,0.01411890983581543,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_001.md
2,12347,67892,"3,13,2,7,0,11,14,1,15,12,10,4,5,6,9,8",4,4,1,0.014270544052124023,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_002.md
3,12348,67893,"11,14,9,3,4,8,7,10,15,0,6,5,1,2,13,12",9,9,1,0.013953447341918945,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_003.md
4,12349,67894,"12,15,14,9,0,4,6,10,1,3,5,13,11,8,2,7",4,4,1,0.021414995193481445,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_004.md
5,12350,67895,"14,3,0,12,9,7,13,6,1,2,5,11,15,4,10,8",2,2,1,0.014364957809448242,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_005.md
6,12351,67896,"14,7,8,4,13,12,2,0,1,3,5,11,9,15,6,10",7,7,1,0.012707710266113281,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_006.md
7,12352,67897,"11,0,8,15,9,4,6,13,14,1,7,2,3,10,5,12",1,1,1,0.00953984260559082,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_007.md
8,12353,67898,"6,0,4,10,11,14,1,2,8,13,9,5,15,7,3,12",1,1,1,0.012650012969970703,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_008.md
9,12354,67899,"8,4,1,13,9,12,3,10,6,14,0,5,15,7,11,2",10,10,1,0.012925863265991211,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_009.md
10,12355,67900,"2,6,1,3,15,10,14,12,7,4,11,8,0,5,13,9",12,12,1,0.018085479736328125,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_010.md
11,12356,67901,"2,4,15,0,5,3,12,6,10,14,11,8,13,7,1,9",3,3,1,0.021493196487426758,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_011.md
12,12357,67902,"12,10,13,5,2,14,0,8,7,4,1,9,15,6,11,3",6,6,1,0.017598867416381836,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_012.md
13,12358,67903,"0,7,11,10,2,3,14,13,4,12,15,8,1,5,6,9",0,0,1,0.022053003311157227,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_013.md
14,12359,67904,"15,8,6,2,0,3,14,12,7,4,13,9,10,1,5,11",4,4,1,0.01468968391418457,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_014.md
15,12360,67905,"7,10,2,0,8,6,3,4,13,15,11,14,12,5,9,1",3,3,1,0.013102293014526367,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_015.md
16,12361,67906,"12,7,1,9,13,3,6,11,0,5,2,14,10,8,15,4",8,8,1,0.014087915420532227,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_016.md
17,12362,67907,"5,12,11,15,0,7,3,1,8,14,4,10,9,2,6,13",4,7,0,0.014059305191040039,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_017.md
18,12363,67908,"10,4,5,0,11,7,13,8,3,2,9,6,15,1,12,14",3,3,1,0.014058589935302734,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_018.md
19,12364,67909,"10,2,1,8,7,14,4,12,5,13,0,9,15,3,6,11",10,10,1,0.014201641082763672,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_019.md
20,12365,67910,"15,6,3,14,0,11,9,10,1,13,2,7,8,4,5,12",4,4,1,0.01589798927307129,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_020.md
21,12366,67911,"10,9,7,2,11,3,5,6,12,15,0,14,4,8,1,13",10,10,1,0.015628814697265625,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_021.md
22,12367,67912,"3,10,7,14,2,9,12,4,1,13,0,15,8,11,5,6",10,10,1,0.011077642440795898,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_022.md
23,12368,67913,"0,14,6,4,11,12,10,15,2,9,7,3,5,13,1,8",0,0,1,0.010988473892211914,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_023.md
24,12369,67914,"4,10,5,8,9,13,12,6,11,15,0,14,1,2,7,3",10,10,1,0.015890121459960938,2000,0,2000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_140833\UNIFORM_NO_ELIM_duel0\md\seed_024.md
