seed,env_seed,algo_seed,perm,best_arm,final_arm,correct,wall_time_sec,spent_budget,duels,rewards,rounds_executed,seed_md
0,12345,67890,"12,8,9,6,11,5,0,13,15,2,4,14,1,7,10,3",6,6,1,1.6982488632202148,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_000.md
1,12346,67891,"12,11,10,6,8,13,1,4,14,2,9,3,7,0,5,15",13,13,1,1.4499382972717285,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_001.md
2,12347,67892,"3,13,2,7,0,11,14,1,15,12,10,4,5,6,9,8",4,4,1,1.3447368144989014,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_002.md
3,12348,67893,"11,14,9,3,4,8,7,10,15,0,6,5,1,2,13,12",9,9,1,1.3118693828582764,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_003.md
4,12349,67894,"12,15,14,9,0,4,6,10,1,3,5,13,11,8,2,7",4,4,1,1.5070581436157227,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_004.md
5,12350,67895,"14,3,0,12,9,7,13,6,1,2,5,11,15,4,10,8",2,2,1,1.5944383144378662,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_005.md
6,12351,67896,"14,7,8,4,13,12,2,0,1,3,5,11,9,15,6,10",7,7,1,1.473736047744751,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_006.md
7,12352,67897,"11,0,8,15,9,4,6,13,14,1,7,2,3,10,5,12",1,1,1,1.691556692123413,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_007.md
8,12353,67898,"6,0,4,10,11,14,1,2,8,13,9,5,15,7,3,12",1,1,1,1.7350940704345703,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_008.md
9,12354,67899,"8,4,1,13,9,12,3,10,6,14,0,5,15,7,11,2",10,10,1,1.8795647621154785,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_009.md
10,12355,67900,"2,6,1,3,15,10,14,12,7,4,11,8,0,5,13,9",12,12,1,1.9489822387695312,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_010.md
11,12356,67901,"2,4,15,0,5,3,12,6,10,14,11,8,13,7,1,9",3,3,1,1.6112804412841797,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_011.md
12,12357,67902,"12,10,13,5,2,14,0,8,7,4,1,9,15,6,11,3",6,6,1,1.6998796463012695,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_012.md
13,12358,67903,"0,7,11,10,2,3,14,13,4,12,15,8,1,5,6,9",0,0,1,1.4563186168670654,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_013.md
14,12359,67904,"15,8,6,2,0,3,14,12,7,4,13,9,10,1,5,11",4,4,1,1.4552624225616455,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_014.md
15,12360,67905,"7,10,2,0,8,6,3,4,13,15,11,14,12,5,9,1",3,3,1,1.5487477779388428,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_015.md
16,12361,67906,"12,7,1,9,13,3,6,11,0,5,2,14,10,8,15,4",8,8,1,1.4709272384643555,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_016.md
17,12362,67907,"5,12,11,15,0,7,3,1,8,14,4,10,9,2,6,13",4,4,1,1.5820245742797852,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_017.md
18,12363,67908,"10,4,5,0,11,7,13,8,3,2,9,6,15,1,12,14",3,3,1,1.4601881504058838,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_018.md
19,12364,67909,"10,2,1,8,7,14,4,12,5,13,0,9,15,3,6,11",10,10,1,1.3600904941558838,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_019.md
20,12365,67910,"15,6,3,14,0,11,9,10,1,13,2,7,8,4,5,12",4,4,1,1.461409091949463,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_020.md
21,12366,67911,"10,9,7,2,11,3,5,6,12,15,0,14,4,8,1,13",10,10,1,1.4244112968444824,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_021.md
22,12367,67912,"3,10,7,14,2,9,12,4,1,13,0,15,8,11,5,6",10,10,1,1.2881011962890625,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_022.md
23,12368,67913,"0,14,6,4,11,12,10,15,2,9,7,3,5,13,1,8",0,0,1,1.432570219039917,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_023.md
24,12369,67914,"4,10,5,8,9,13,12,6,11,15,0,14,1,2,7,3",10,10,1,1.2774553298950195,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_024.md
25,12370,67915,"9,2,8,14,7,0,4,10,11,6,1,12,15,13,5,3",5,5,1,1.4546451568603516,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_025.md
26,12371,67916,"0,7,4,9,15,14,11,3,10,2,6,13,5,8,12,1",0,0,1,1.593111515045166,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_026.md
27,12372,67917,"13,6,11,10,5,8,1,9,0,15,12,4,7,3,14,2",8,8,1,1.6247589588165283,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_027.md
28,12373,67918,"4,9,12,8,1,11,15,13,2,6,5,10,0,7,14,3",12,12,1,1.4788291454315186,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_028.md
29,12374,67919,"7,0,13,14,1,5,3,10,6,15,8,9,11,12,4,2",1,1,1,1.3163678646087646,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_029.md
30,12375,67920,"4,7,6,12,8,9,15,3,2,13,1,11,5,14,10,0",15,15,1,1.333322286605835,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_030.md
31,12376,67921,"11,6,15,12,10,14,4,3,1,8,13,9,2,0,7,5",13,13,1,1.3703432083129883,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_031.md
32,12377,67922,"2,5,13,6,4,3,11,10,12,1,14,15,0,9,7,8",12,12,1,1.3562355041503906,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_032.md
33,12378,67923,"5,12,4,3,0,13,8,6,2,14,11,9,10,7,15,1",4,4,1,1.3547420501708984,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_033.md
34,12379,67924,"4,11,12,10,13,8,14,6,2,1,5,0,3,9,15,7",11,11,1,1.2600529193878174,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel1\md\seed_034.md
