seed,env_seed,algo_seed,perm,best_arm,final_arm,correct,wall_time_sec,spent_budget,duels,rewards,rounds_executed,seed_md
492,12837,68382,"5,0,7,8,14,4,10,2,9,13,12,1,6,11,15,3",1,1,1,1.1217193603515625,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_492.md
493,12838,68383,"0,4,12,5,11,15,3,9,7,2,14,1,8,10,6,13",0,0,1,1.0958709716796875,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_493.md
494,12839,68384,"9,5,2,14,1,8,3,6,4,0,12,15,13,7,11,10",9,9,1,1.1128971576690674,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_494.md
495,12840,68385,"12,10,7,0,6,4,13,1,9,2,3,15,14,5,11,8",3,3,1,0.9946229457855225,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_495.md
496,12841,68386,"15,11,6,2,8,7,4,14,9,0,10,3,13,5,1,12",9,9,1,1.0956783294677734,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_496.md
497,12842,68387,"11,1,12,4,13,10,15,0,8,5,7,2,6,3,9,14",7,7,1,1.2660446166992188,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_497.md
498,12843,68388,"4,0,13,12,8,11,10,15,5,1,7,3,14,9,6,2",1,1,1,1.2732264995574951,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_498.md
499,12844,68389,"1,9,11,12,0,5,3,15,6,14,7,8,2,10,4,13",4,4,1,1.1621787548065186,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_499.md
500,12845,68390,"12,14,10,6,8,13,0,3,11,9,1,15,5,4,2,7",6,6,1,1.080568552017212,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_500.md
501,12846,68391,"5,12,15,4,2,13,9,10,14,6,1,8,11,7,3,0",15,15,1,1.190093755722046,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_501.md
